# TSP INSTANCE: berlin52.tsp 
# Population size: 5 
# Number of generations: 10 
# Elitist strategy: ON 
# Number of elites: 2 
# Hillclimbing: OFF 
# Selection type: Tournament 
# Tournament size: 2 
# Crossover type: OX 
# Crossover probability: 0.01 
# Mutation type: 2-swap 
# Mutation probability: 0.01 
# Seed: None 
# Number of experiments: 3 
# Experiment 1 
# GEN 	 best_tour 	 av_tour 	 best_tour_sequence 
0 	 28470.54991235619 	 29445.673130783773 	 49-45-28-16-12-38-7-2-29-39-40-30-25-4-50-51-14-13-23-19-26-35-34-31-22-0-27-5-20-17-10-47-36-37-43-41-8-32-21-11-24-46-18-48-9-3-1-6-33-44-42-15
1 	 27406.645860525547 	 28193.354327792316 	 30-25-4-50-51-14-13-23-19-26-35-34-31-22-0-27-5-20-17-15-47-36-3-43-41-8-32-21-11-24-46-18-48-9-37-1-6-33-44-40-7-10-49-45-28-12-29-38-2-42-39-16
2 	 27431.876562975875 	 27731.30625519301 	 22-0-27-5-20-17-10-47-36-3-43-41-8-32-21-11-24-46-18-48-9-37-1-31-13-50-4-35-26-12-6-29-14-49-45-28-16-38-7-2-39-40-30-25-51-23-19-34-33-44-42-15
3 	 26614.251838622124 	 27339.27731467915 	 20-17-10-47-36-3-43-41-8-32-21-11-24-46-18-48-9-37-1-31-13-51-4-35-26-12-6-29-22-0-27-5-14-49-45-28-16-38-7-2-39-40-30-25-50-23-19-34-33-44-42-15
4 	 26614.251838622124 	 27203.806857921583 	 20-17-10-47-36-3-43-41-8-32-21-11-24-46-18-48-9-37-1-31-13-51-4-35-26-12-6-29-22-0-27-5-14-49-45-28-16-38-7-2-39-40-30-25-50-23-19-34-33-44-42-15
5 	 26510.748643120085 	 27848.49560942342 	 4-50-47-14-21-23-19-44-40-7-49-45-22-0-28-27-5-32-17-15-51-36-3-9-41-8-20-13-11-24-46-26-35-34-31-30-10-18-48-43-33-1-6-37-25-12-29-38-2-42-39-16
6 	 24488.165081375628 	 26574.4264707942 	 32-17-15-47-45-3-43-41-8-20-31-11-24-46-26-35-34-14-30-10-18-48-9-33-1-6-37-25-12-13-51-4-29-22-0-27-5-21-49-36-28-16-38-7-2-39-40-50-23-19-44-42
7 	 24488.165081375628 	 26491.278173560153 	 32-17-15-47-45-3-43-41-8-20-31-11-24-46-26-35-34-14-30-10-18-48-9-33-1-6-37-25-12-13-51-4-29-22-0-27-5-21-49-36-28-16-38-7-2-39-40-50-23-19-44-42
8 	 24488.165081375628 	 25882.540953358515 	 32-17-15-47-45-3-43-41-8-20-31-11-24-46-26-35-34-14-30-10-18-48-9-33-1-6-37-25-12-13-51-4-29-22-0-27-5-21-49-36-28-16-38-7-2-39-40-50-23-19-44-42
9 	 24808.526742378333 	 26320.768978941418 	 32-17-15-47-45-3-43-41-8-20-31-11-24-46-26-35-34-14-30-10-18-48-9-33-1-6-37-25-12-13-51-4-29-22-0-27-5-21-49-36-28-16-38-7-2-39-40-50-23-19-44-42

# Experiment 2 
# GEN 	 best_tour 	 av_tour 	 best_tour_sequence 
0 	 27578.734393848128 	 28940.048241074863 	 39-4-47-37-50-51-35-36-1-15-38-2-42-48-23-32-14-31-8-6-21-33-19-16-10-5-41-29-27-9-3-40-7-30-46-22-49-25-28-13-26-18-17-34-0-20-43-24-12-11-45-44
1 	 26699.89932466628 	 28974.357818543456 	 10-30-45-3-37-1-35-6-48-32-47-15-42-27-31-9-25-46-50-44-19-26-14-11-49-29-18-24-5-2-8-0-22-17-33-20-7-13-23-4-39-34-43-28-41-36-40-16-21-38-12-51
2 	 26699.89932466628 	 28075.434585664476 	 10-30-45-3-37-1-35-6-48-32-47-15-42-27-31-9-25-46-50-44-19-26-14-11-49-29-18-24-5-2-8-0-22-17-33-20-7-13-23-4-39-34-43-28-41-36-40-16-21-38-12-51
3 	 26699.89932466628 	 28312.51825167144 	 10-30-45-3-37-1-35-6-48-32-47-15-42-27-31-9-25-46-50-44-19-26-14-11-49-29-18-24-5-2-8-0-22-17-33-20-7-13-23-4-39-34-43-28-41-36-40-16-21-38-12-51
4 	 26406.80820467651 	 27983.00804104052 	 10-30-45-3-37-1-35-6-48-32-47-15-42-27-31-9-25-46-50-44-19-26-14-11-49-29-18-24-5-2-8-0-22-17-33-20-7-13-23-4-39-34-43-28-41-36-40-16-21-38-12-51
5 	 26537.516239837816 	 28691.68311500894 	 39-4-47-37-50-51-35-36-1-15-38-2-42-48-23-32-14-31-8-6-21-33-19-16-10-5-41-29-27-9-3-40-7-30-46-22-49-25-28-13-26-18-17-34-0-20-43-24-12-11-45-44
6 	 26537.516239837816 	 28154.90234364388 	 39-4-47-37-50-51-35-36-1-15-38-2-42-48-23-32-14-31-8-6-21-33-19-16-10-5-41-29-27-9-3-40-7-30-46-22-49-25-28-13-26-18-17-34-0-20-43-24-12-11-45-44
