# TSP INSTANCE: berlin52.tsp 
# Population size: 5 
# Number of generations: 10 
# Elitist strategy: ON 
# Number of elites: 1 
# Hillclimbing: OFF 
# Selection type: Tournament 
# Tournament size: 2 
# Crossover type: OX 
# Crossover probability: 0.01 
# Mutation type: 2-swap 
# Mutation probability: 0.01 
# Seed: None 
# GEN 	 best_tour 	 av_tour 	 best_tour_sequence 
0 	 29962.707089726213 	 31248.528997098998 	 15-18-4-21-17-29-50-32-44-0-6-37-7-48-10-2-49-24-23-38-1-41-39-35-5-46-34-51-36-45-26-43-14-19-20-28-13-8-33-9-30-16-27-31-22-12-3-11-47-42-25-40
1 	 29016.716173797668 	 30526.024476949395 	 2-20-36-7-31-13-18-32-15-6-42-40-30-50-28-24-11-22-33-1-44-21-19-37-46-25-39-38-26-35-47-8-14-34-45-9-3-5-43-48-27-29-41-49-51-16-0-10-12-4-23-17
2 	 30386.164001956884 	 30922.9304834399 	 33-35-47-8-14-34-45-9-2-3-5-43-44-48-18-29-28-40-41-7-21-27-26-30-11-19-20-37-46-25-39-36-1-24-38-32-23-6-50-22-51-16-0-10-12-4-49-17-15-42-13-31
3 	 30255.474461348866 	 31078.12073761962 	 49-6-7-21-50-30-11-19-20-37-46-25-39-36-1-24-38-33-35-47-8-14-34-45-9-2-3-5-43-44-48-18-29-28-40-41-32-26-22-51-16-0-10-12-4-31-13-15-42-27-23-17
4 	 28994.55790517409 	 31170.711428280814 	 35-45-9-47-8-14-34-27-37-17-0-12-46-4-10-23-20-31-13-15-42-30-50-11-22-21-51-26-19-25-39-36-1-24-38-33-2-3-5-43-44-48-18-29-28-40-41-32-49-6-16-7
5 	 29963.44902037909 	 31104.874779712674 	 33-35-47-38-8-14-34-45-9-2-3-5-43-44-50-18-27-29-28-40-20-37-46-25-39-36-1-24-41-6-49-32-7-21-26-30-11-19-48-22-51-16-0-10-12-4-23-17-15-42-13-31
6 	 31822.94231553371 	 32044.768074326115 	 17-0-12-46-4-10-23-20-31-13-15-42-30-11-21-51-40-41-32-49-6-50-22-45-9-2-3-5-43-44-48-18-29-28-25-39-36-1-24-38-33-26-7-35-47-8-14-34-27-37-16-19
7 	 29298.85252219215 	 31174.205189468965 	 17-0-12-46-4-10-40-41-32-49-6-50-42-45-35-2-3-5-43-44-48-18-29-28-25-13-39-36-1-24-38-33-26-23-20-31-15-22-30-11-21-51-7-9-47-8-14-34-27-37-16-19
8 	 30035.910486319524 	 30969.250426551735 	 32-49-6-50-22-45-9-2-3-5-43-44-48-18-23-20-31-25-15-42-30-11-21-51-13-16-17-0-12-46-4-10-40-41-29-28-39-36-1-24-38-33-26-7-35-47-8-14-34-27-37-19
9 	 30576.765890506576 	 31128.384818482187 	 38-33-48-26-7-4-10-40-41-32-49-6-50-22-17-0-12-46-42-45-35-2-3-5-43-44-18-29-28-25-13-39-36-1-24-23-20-31-15-30-11-21-51-9-47-8-14-34-27-37-16-19
