# TSP INSTANCE: berlin52.tsp 
# Population size: 10 
# Number of generations: 3 
# Elitist strategy: ON 
# Number of elites: 1 
# Hillclimbing: OFF 
# Selection type: Rank 
# Tournament size: 0 
# Crossover type: OX 
# Crossover probability: 0.9 
# Mutation type: 2-swap 
# Mutation probability: 0.01 
# Seed: None 
# Number of experiments: 3 
# Experiment 1 
# GEN 	 best_tour 	 av_tour 	 best_tour_sequence 
0 	 27993.11780812415 	 29822.10541374918 	 43-19-3-20-14-18-34-38-35-1-30-27-24-12-23-31-51-4-41-9-10-11-52-2-15-37-21-26-48-28-42-46-44-49-8-47-16-50-32-29-22-6-45-13-17-7-36-39-25-33-40-5
1 	 26994.18418362453 	 29910.591840105044 	 5-7-6-14-46-18-34-38-35-37-30-27-24-12-23-31-51-4-41-9-10-11-52-28-44-22-43-13-42-1-49-45-26-29-19-17-32-21-20-33-48-3-50-2-47-16-39-8-15-40-36-25
2 	 26537.463052195406 	 29584.175080497207 	 50-17-3-32-39-18-34-38-35-1-30-27-24-12-23-31-51-4-41-9-10-11-52-28-44-22-43-13-42-37-49-45-26-29-33-8-36-5-40-21-48-6-16-46-15-14-2-47-25-7-20-19
3 	 26537.463052195406 	 28758.93936428639 	 50-17-3-32-39-18-34-38-35-1-30-27-24-12-23-31-51-4-41-9-10-11-52-28-44-22-43-13-42-37-49-45-26-29-33-8-36-5-40-21-48-6-16-46-15-14-2-47-25-7-20-19


# Experiment 2 
# GEN 	 best_tour 	 av_tour 	 best_tour_sequence 
0 	 26101.375825540345 	 29238.824143946702 	 24-34-19-9-48-22-23-16-1-31-46-41-17-21-44-51-32-37-43-42-39-52-4-29-11-33-7-30-36-6-35-40-20-10-8-38-3-18-2-25-45-49-26-27-12-50-28-15-14-5-13-47
1 	 26101.375825540345 	 28522.872792237544 	 24-34-19-9-48-22-23-16-1-31-46-41-17-21-44-51-32-37-43-42-39-52-4-29-11-33-7-30-36-6-35-40-20-10-8-38-3-18-2-25-45-49-26-27-12-50-28-15-14-5-13-47
2 	 26608.469358669052 	 28422.4838252157 	 24-34-48-38-25-9-23-21-39-4-51-16-1-36-52-11-31-46-41-28-14-37-43-42-19-29-13-7-30-6-35-40-20-10-8-22-3-44-2-18-45-49-26-27-12-50-17-15-32-5-33-47
3 	 25929.72166565092 	 28481.737125641346 	 24-34-48-38-25-9-23-21-19-4-51-41-17-16-1-36-52-11-31-46-28-14-37-43-42-39-29-33-7-30-6-35-40-20-10-8-22-3-44-2-18-45-49-26-27-12-50-15-32-5-13-47


# Experiment 3 
# GEN 	 best_tour 	 av_tour 	 best_tour_sequence 
0 	 28425.326380240665 	 30134.060306884865 	 2-43-51-35-25-31-47-9-18-24-26-3-34-49-21-29-22-38-36-41-4-7-11-27-28-16-40-5-45-17-10-44-8-39-23-32-14-52-6-12-48-1-30-42-19-50-37-20-15-46-13-33
1 	 28425.326380240665 	 30385.32418429174 	 2-43-51-35-25-31-47-9-18-24-26-3-34-49-21-29-22-38-36-41-4-7-11-27-28-16-40-5-45-17-10-44-8-39-23-32-14-52-6-12-48-1-30-42-19-50-37-20-15-46-13-33
2 	 27686.73440932563 	 29378.902623614693 	 12-52-37-42-35-39-18-2-21-27-47-16-48-40-23-45-19-38-36-41-4-7-11-6-33-43-44-9-20-10-25-22-34-32-30-29-49-31-26-46-17-28-13-24-8-50-1-3-51-15-5-14
3 	 27686.73440932563 	 29912.000860273714 	 12-52-37-42-35-39-18-2-21-27-47-16-48-40-23-45-19-38-36-41-4-7-11-6-33-43-44-9-20-10-25-22-34-32-30-29-49-31-26-46-17-28-13-24-8-50-1-3-51-15-5-14


