# TSP INSTANCE: test-ring-square36.tsp 
# Population size: 10 
# Number of generations: 10 
# Elitist strategy: ON 
# Number of elites: 1 
# Hillclimbing: OFF 
# Selection type: Tournament 
# Tournament size: 2 
# Crossover type: OX 
# Crossover probability: 0.9 
# Mutation type: 2-swap 
# Mutation probability: 0.01 
# Seed: None 
# GEN 	 best_tour 	 av_tour 	 best_tour_sequence 
0 	 206.9080494971016 	 241.9156714096958 	 28-3-18-5-15-1-24-19-20-23-25-4-17-7-6-22-33-36-31-35-32-29-13-10-2-8-9-21-27-26-30-34-16-14-12-11
1 	 206.59056000379334 	 232.90969109092566 	 12-16-15-14-34-1-28-5-20-23-25-4-17-7-6-22-33-36-31-35-32-29-13-10-2-8-9-21-27-26-30-19-18-3-11-24
2 	 201.68487439796817 	 243.51259590674766 	 33-14-24-28-34-4-17-25-22-11-12-6-15-7-5-16-1-36-31-35-32-29-13-10-2-8-9-21-27-26-30-19-18-3-23-20
3 	 201.68487439796817 	 244.13252019230293 	 33-14-24-28-34-4-17-25-22-11-12-6-15-7-5-16-1-36-31-35-32-29-13-10-2-8-9-21-27-26-30-19-18-3-23-20
4 	 201.68487439796817 	 254.30563317653287 	 33-14-24-28-34-4-17-25-22-11-12-6-15-7-5-16-1-36-31-35-32-29-13-10-2-8-9-21-27-26-30-19-18-3-23-20
5 	 201.68487439796817 	 260.4077847675094 	 33-14-24-28-34-4-17-25-22-11-12-6-15-7-5-16-1-36-31-35-32-29-13-10-2-8-9-21-27-26-30-19-18-3-23-20
6 	 201.68487439796817 	 246.70125271475476 	 33-14-24-28-34-4-17-25-22-11-12-6-15-7-5-16-1-36-31-35-32-29-13-10-2-8-9-21-27-26-30-19-18-3-23-20
7 	 201.68487439796817 	 248.3334365055532 	 33-14-24-28-34-4-17-25-22-11-12-6-15-7-5-16-1-36-31-35-32-29-13-10-2-8-9-21-27-26-30-19-18-3-23-20
8 	 201.68487439796817 	 252.12760501066091 	 33-14-24-28-34-4-17-25-22-11-12-6-15-7-5-16-1-36-31-35-32-29-13-10-2-8-9-21-27-26-30-19-18-3-23-20
9 	 201.68487439796817 	 256.8742444620522 	 33-14-24-28-34-4-17-25-22-11-12-6-15-7-5-16-1-36-31-35-32-29-13-10-2-8-9-21-27-26-30-19-18-3-23-20
10 	 201.68487439796817 	 265.9088083181882 	 33-14-24-28-34-4-17-25-22-11-12-6-15-7-5-16-1-36-31-35-32-29-13-10-2-8-9-21-27-26-30-19-18-3-23-20
